name,team,league,position,role,overall,minutes,90s
Mamadou Sarr,Strasbourg,fr Ligue 1,DF,Defensive Centre-back,18.1,2365,26.3
Gerrit Holtmann,Bochum,de Bundesliga,DF,Fullback / Wing-back,18.1,1136,12.6
Bryan Zaragoza,Osasuna,es La Liga,FW,Creative Attacking Midfielder,18.1,1836,20.4
Evanilson,Bournemouth,eng Premier League,FW,Clinical Striker,18.0,2319,25.8
Kevin Akpoguma,Hoffenheim,de Bundesliga,DF,Defensive Centre-back,17.9,2220,24.7
Robin Gosens,Fiorentina,it Serie A,DF,Ball-playing Centre-back,17.9,2434,27.0
Alex Sola,Getafe,es La Liga,MF,Wide Midfielder / Winger,17.9,1029,11.4
Alessio Iovine,Como,it Serie A,DF,Defensive Centre-back,17.9,387,4.3
Kevin Vogt,Union Berlin,de Bundesliga,DF,Defensive Centre-back,17.8,1367,15.2
Michael Folorunsho,Fiorentina,it Serie A,FW,Wide Midfielder / Winger,17.8,650,7.2
Willy Kambwala,Villarreal,es La Liga,DF,Defensive Centre-back,17.8,1117,12.4
Chris Führich,Stuttgart,de Bundesliga,MF,Creative Attacking Midfielder,17.6,1981,22.0
Alexis Sánchez,Udinese,it Serie A,FW,Wide Midfielder / Winger,17.5,437,4.9
Jannik Vestergaard,Leicester City,eng Premier League,DF,Defensive Centre-back,17.5,1391,15.5
Stephan El Shaarawy,Roma,it Serie A,DF,Box-to-box Midfielder,17.4,1098,12.2
Jan Schöppner,Heidenheim,de Bundesliga,MF,Defensive Midfielder,17.4,2681,29.8
Mikey Moore,Tottenham,eng Premier League,FW,Wide Midfielder / Winger,17.4,366,4.1
Alessandro Circati,Parma,it Serie A,DF,Defensive Centre-back,17.3,540,6.0
Jarell Quansah,Liverpool,eng Premier League,DF,Defensive Centre-back,17.2,495,5.5
Gideon Mensah,Auxerre,fr Ligue 1,DF,Ball-winning Midfielder,17.2,2280,25.3
Moses Simon,Nantes,fr Ligue 1,FW,Creative Attacking Midfielder,17.1,2609,29.0
Pablo Ibáñez,Osasuna,es La Liga,MF,Defensive Midfielder,17.0,1294,14.4
Nicolas Pallois,Nantes,fr Ligue 1,DF,Defensive Centre-back,17.0,2017,22.4
Mohamed Abdelmoneim,Nice,fr Ligue 1,DF,Defensive Centre-back,16.9,855,9.5
Sead Kolašinac,Atalanta,it Serie A,DF,Ball-winning Midfielder,16.8,1903,21.1
Maximilian Breunig,Heidenheim,de Bundesliga,FW,Clinical Striker,16.7,350,3.9
Beto,Everton,eng Premier League,FW,Clinical Striker,16.7,1534,17.0
Riccardo Calafiori,Arsenal,eng Premier League,DF,Ball-playing Centre-back,16.7,983,10.9
Roméo Lavia,Chelsea,eng Premier League,MF,Ball-winning Midfielder,16.6,797,8.9
Fares Chaïbi,Eint Frankfurt,de Bundesliga,MF,Creative Attacking Midfielder,16.5,1013,11.3
Jeremie Frimpong,Leverkusen,de Bundesliga,DF,Fullback / Wing-back,16.4,2314,25.7
Noussair Mazraoui,Manchester Utd,eng Premier League,DF,Ball-winning Midfielder,16.3,2838,31.5
Rassoul Ndiaye,Le Havre,fr Ligue 1,MF,Defensive Midfielder,16.3,1061,11.8
Aleksandar Pavlovic,Bayern Munich,de Bundesliga,MF,Ball-winning Midfielder,16.3,1451,16.1
Unai Núñez,Athletic Club,es La Liga,DF,Defensive Centre-back,16.2,645,7.2
Romano Schmid,Werder Bremen,de Bundesliga,MF,Creative Attacking Midfielder,16.1,2834,31.5
Mikkel Kaufmann,Heidenheim,de Bundesliga,FW,Target Man / Physical Striker,16.0,372,4.1
Andrea Petagna,Monza,it Serie A,FW,Target Man / Physical Striker,15.9,335,3.7
Ola Solbakken,Empoli,it Serie A,MF,Target Man / Physical Striker,15.9,760,8.4
Destiny Udogie,Tottenham,eng Premier League,DF,Ball-winning Midfielder,15.9,1924,21.4
Manuel Fuster,Las Palmas,es La Liga,FW,Creative Attacking Midfielder,15.9,1003,11.1
Paul Wanner,Heidenheim,de Bundesliga,MF,Wide Midfielder / Winger,15.8,1771,19.7
Tomás Palacios,Monza,it Serie A,DF,Defensive Centre-back,15.8,446,5.0
Raúl Albiol,Villarreal,es La Liga,DF,Defensive Centre-back,15.7,1188,13.2
Andrea Carboni,Monza,it Serie A,DF,Defensive Centre-back,15.7,2191,24.3
Mateo Pellegrino,Parma,it Serie A,FW,Clinical Striker,15.6,737,8.2
Thierno Barry,Villarreal,es La Liga,FW,Clinical Striker,15.5,2323,25.8
Ross Barkley,Aston Villa,eng Premier League,MF,Box-to-box Midfielder,15.5,581,6.5
Sébastien Haller,Leganés,es La Liga,FW,Target Man / Physical Striker,15.5,404,4.5
David Torres,Valladolid,es La Liga,DF,Defensive Centre-back,15.5,1387,15.4
Umar Sadiq,Valencia,es La Liga,FW,Clinical Striker,15.2,825,9.2
Benedikt Gimber,Heidenheim,de Bundesliga,DF,Defensive Centre-back,15.1,2671,29.7
Marko Ivezić,Holstein Kiel,de Bundesliga,DF,Defensive Centre-back,15.0,1657,18.4
Jon Pacheco,Real Sociedad,es La Liga,DF,Defensive Centre-back,15.0,854,9.5
Ameen Al-Dakhil,Stuttgart,de Bundesliga,DF,Defensive Centre-back,14.7,432,4.8
Charlie Taylor,Southampton,eng Premier League,DF,Defensive Centre-back,14.5,356,4.0
David Alaba,Real Madrid,es La Liga,DF,Defensive Centre-back,14.5,317,3.5
Haris Tabakovic,Hoffenheim,de Bundesliga,FW,Clinical Striker,14.3,821,9.1
Gaby Jean,Lecce,it Serie A,DF,Defensive Centre-back,14.1,1388,15.4
Yoel Lago,Celta Vigo,es La Liga,DF,Defensive Centre-back,13.9,583,6.5
Chuba Akpom,Lille,fr Ligue 1,FW,Clinical Striker,13.9,639,7.1
Junya Ito,Reims,fr Ligue 1,FW,Creative Attacking Midfielder,13.7,2690,29.9
Tomáš Suslov,Hellas Verona,it Serie A,MF,Wide Midfielder / Winger,13.6,2080,23.1
Andy Diouf,Lens,fr Ligue 1,MF,Wide Midfielder / Winger,13.6,2225,24.7
Andreas Skov Olsen,Wolfsburg,de Bundesliga,FW,Creative Attacking Midfielder,13.5,535,5.9
Valentino Livramento,Newcastle Utd,eng Premier League,DF,Ball-winning Midfielder,13.3,2840,31.6
Pablo Marí,Monza,it Serie A,DF,Defensive Centre-back,13.3,1628,18.1
Benoît Badiashile,Chelsea,eng Premier League,DF,Defensive Centre-back,13.1,334,3.7
Jean-Clair Todibo,West Ham,eng Premier League,DF,Defensive Centre-back,13.0,1825,20.3
Nicolò Cambiaghi,Bologna,it Serie A,FW,Creative Attacking Midfielder,12.9,620,6.9
Igor,Brighton,eng Premier League,DF,Defensive Centre-back,12.9,961,10.7
Dani Carvajal,Real Madrid,es La Liga,DF,Ball-playing Centre-back,12.8,609,6.8
Djibril Sidibé,Toulouse,fr Ligue 1,DF,Ball-winning Midfielder,12.7,2101,23.3
Finn Jeltsch,Stuttgart,de Bundesliga,DF,Defensive Centre-back,12.6,780,8.7
David Neres,Napoli,it Serie A,FW,Creative Attacking Midfielder,12.5,1283,14.3
Gerard Gumbau,Rayo Vallecano,es La Liga,MF,Defensive Midfielder,12.4,849,9.4
Raheem Sterling,Arsenal,eng Premier League,FW,Creative Attacking Midfielder,12.1,499,5.5
Mahamadou Nagida,Rennes,fr Ligue 1,DF,Fullback / Wing-back,11.7,430,4.8
Dani de Wit,Bochum,de Bundesliga,MF,Defensive Midfielder,11.7,1153,12.8
Anthony Jung,Werder Bremen,de Bundesliga,DF,Defensive Centre-back,11.7,1898,21.1
Christos Mandas,Lazio,it Serie A,GK,Goalkeeper,11.7,810,9.0
Michy Batshuayi,Eint Frankfurt,de Bundesliga,FW,Clinical Striker,11.5,300,3.3
André,Wolves,eng Premier League,MF,Ball-winning Midfielder,11.3,2472,27.5
Hugo Sotelo,Celta Vigo,es La Liga,MF,Ball-winning Midfielder,11.1,1254,13.9
Abdul Fatawu Issahaku,Leicester City,eng Premier League,FW,Creative Attacking Midfielder,11.1,579,6.4
Francisco Perez,Valencia,es La Liga,FW,Wide Midfielder / Winger,11.0,570,6.3
Nathan Wood-Gordon,Southampton,eng Premier League,DF,Defensive Centre-back,10.8,773,8.6
David Nemeth,St. Pauli,de Bundesliga,DF,Defensive Centre-back,10.8,2137,23.7
Marcão,Sevilla,es La Liga,DF,Defensive Centre-back,10.7,552,6.1
Archie Gray,Tottenham,eng Premier League,DF,Defensive Centre-back,10.6,1751,19.5
Anastasios Douvikas,Celta Vigo,es La Liga,FW,Clinical Striker,10.6,700,7.8
Yael Mouanga,Montpellier,fr Ligue 1,DF,Defensive Centre-back,10.3,946,10.5
Darwin Machís,Valladolid,es La Liga,MF,Defensive Midfielder,10.2,639,7.1
Arthur Melo,Girona,es La Liga,MF,Ball-winning Midfielder,10.2,941,10.5
Oriol Romeu,Girona,es La Liga,MF,Ball-winning Midfielder,10.0,1356,15.1
Mostafa Mohamed,Nantes,fr Ligue 1,FW,Clinical Striker,10.0,1252,13.9
Jean Butez,Como,it Serie A,GK,Goalkeeper,10.0,1666,18.5
Jurgen Ekkelenkamp,Udinese,it Serie A,MF,Defensive Midfielder,10.0,1892,21.0
David Raya,Arsenal,eng Premier League,GK,Goalkeeper,10.0,3420,38.0
Rayan Raveloson,Auxerre,fr Ligue 1,MF,Defensive Midfielder,9.7,724,8.0
Glen Kamara,Rennes,fr Ligue 1,MF,Ball-winning Midfielder,9.6,662,7.4
Kauã Santos,Eint Frankfurt,de Bundesliga,GK,Goalkeeper,9.6,765,8.5
Morato,Nott'ham Forest,eng Premier League,DF,Defensive Centre-back,9.6,907,10.1
Nikola Maksimović,Montpellier,fr Ligue 1,DF,Defensive Centre-back,9.6,581,6.5
Cenk Özkacar,Valladolid,es La Liga,DF,Defensive Centre-back,9.6,757,8.4
Marius Müller,Wolfsburg,de Bundesliga,GK,Goalkeeper,9.6,475,5.3
Javier Manquillo,Celta Vigo,es La Liga,DF,Defensive Centre-back,9.5,515,5.7
Arijanet Muric,Ipswich Town,eng Premier League,GK,Goalkeeper,9.5,1620,18.0
Merlin Röhl,Freiburg,de Bundesliga,MF,Wide Midfielder / Winger,9.4,965,10.7
Mark Travers,Bournemouth,eng Premier League,GK,Goalkeeper,9.4,450,5.0
Donny van de Beek,Girona,es La Liga,MF,Defensive Midfielder,9.3,1421,15.8
Devis Vásquez,Empoli,it Serie A,GK,Goalkeeper,9.2,2880,32.0
Pedro Chirivella,Nantes,fr Ligue 1,MF,Ball-winning Midfielder,9.2,2348,26.1
Mattia Perin,Juventus,it Serie A,GK,Goalkeeper,9.2,450,5.0
Ionuț Radu,Venezia,it Serie A,GK,Goalkeeper,9.2,1350,15.0
Nick Pope,Newcastle Utd,eng Premier League,GK,Goalkeeper,9.1,2520,28.0
Federico Ravaglia,Bologna,it Serie A,GK,Goalkeeper,9.1,1056,11.7
Julen Agirrezabala,Athletic Club,es La Liga,GK,Goalkeeper,9.1,1206,13.4
Jude Bellingham,Real Madrid,es La Liga,MF,Box-to-box Midfielder,9.1,2488,27.6
Boubakary Soumaré,Leicester City,eng Premier League,MF,Ball-winning Midfielder,9.0,2171,24.1
Alex Meret,Napoli,it Serie A,GK,Goalkeeper,9.0,3005,33.4
Tiago Cardoso,Gladbach,de Bundesliga,GK,Goalkeeper,8.9,380,4.2
Nicola Leali,Genoa,it Serie A,GK,Goalkeeper,8.8,2610,29.0
Filip Stankovic,Venezia,it Serie A,GK,Goalkeeper,8.8,1367,15.2
Guimissongui Ouattara,Strasbourg,fr Ligue 1,DF,Ball-playing Centre-back,8.8,471,5.2
Martin Dúbravka,Newcastle Utd,eng Premier League,GK,Goalkeeper,8.6,900,10.0
Marco Carnesecchi,Atalanta,it Serie A,GK,Goalkeeper,8.6,3060,34.0
Eren Dinkçi,Freiburg,de Bundesliga,MF,Wide Midfielder / Winger,8.5,1196,13.3
Elia Caprile,Cagliari,it Serie A,GK,Goalkeeper,8.5,1620,18.0
Guglielmo Vicario,Tottenham,eng Premier League,GK,Goalkeeper,8.3,2160,24.0
Wladimiro Falcone,Lecce,it Serie A,GK,Goalkeeper,8.3,3420,38.0
Nikola Vasilj,St. Pauli,de Bundesliga,GK,Goalkeeper,8.2,2969,33.0
Joseph Aidoo,Valladolid,es La Liga,DF,Defensive Centre-back,8.1,583,6.5
Vanja Milinković-Savić,Torino,it Serie A,GK,Goalkeeper,8.1,3330,37.0
Robert Sánchez,Chelsea,eng Premier League,GK,Goalkeeper,8.1,2880,32.0
Łukasz Fabiański,West Ham,eng Premier League,GK,Goalkeeper,8.1,1160,12.9
Maduka Okoye,Udinese,it Serie A,GK,Goalkeeper,8.0,2250,25.0
Emanuel Emegha,Strasbourg,fr Ligue 1,FW,Clinical Striker,7.9,2293,25.5
Alisson,Liverpool,eng Premier League,GK,Goalkeeper,7.8,2508,27.9
Mike Maignan,Milan,it Serie A,GK,Goalkeeper,7.7,3294,36.6
Zion Suzuki,Parma,it Serie A,GK,Goalkeeper,7.7,3314,36.8
Gregor Kobel,Dortmund,de Bundesliga,GK,Goalkeeper,7.7,2880,32.0
Victor Lindelöf,Manchester Utd,eng Premier League,DF,Defensive Centre-back,7.7,704,7.8
Jesse Joronen,Venezia,it Serie A,GK,Goalkeeper,7.6,703,7.8
Unai Simón,Athletic Club,es La Liga,GK,Goalkeeper,7.6,1890,21.0
Yann Sommer,Inter,it Serie A,GK,Goalkeeper,7.6,2880,32.0
Fraser Forster,Tottenham,eng Premier League,GK,Goalkeeper,7.6,630,7.0
Michele Di Gregorio,Juventus,it Serie A,GK,Goalkeeper,7.6,2970,33.0
Marko Dmitrović,Leganés,es La Liga,GK,Goalkeeper,7.5,2880,32.0
Jonas Urbig,Bayern Munich,de Bundesliga,GK,Goalkeeper,7.5,720,8.0
Noah Atubolu,Freiburg,de Bundesliga,GK,Goalkeeper,7.5,2307,25.6
Yahia Fofana,Angers,fr Ligue 1,GK,Goalkeeper,7.4,2970,33.0
Radosław Majecki,Monaco,fr Ligue 1,GK,Goalkeeper,7.3,1350,15.0
Abdoulaye Doucouré,Everton,eng Premier League,MF,Defensive Midfielder,7.2,2564,28.5
Kamil Grabara,Wolfsburg,de Bundesliga,GK,Goalkeeper,7.2,2585,28.7
Łukasz Skorupski,Bologna,it Serie A,GK,Goalkeeper,7.2,2364,26.3
Finn Dahmen,Augsburg,de Bundesliga,GK,Goalkeeper,7.2,1710,19.0
Thomas Dähne,Holstein Kiel,de Bundesliga,GK,Goalkeeper,7.1,810,9.0
Lorenzo Montipò,Hellas Verona,it Serie A,GK,Goalkeeper,7.0,3240,36.0
Caoimhín Kelleher,Liverpool,eng Premier League,GK,Goalkeeper,7.0,900,10.0
José Sá,Wolves,eng Premier League,GK,Goalkeeper,7.0,2609,29.0
Simone Scuffet,Cagliari,it Serie A,GK,Goalkeeper,7.0,1170,13.0
Michael Zetterer,Werder Bremen,de Bundesliga,GK,Goalkeeper,6.9,3060,34.0
Mathew Ryan,Lens,fr Ligue 1,GK,Goalkeeper,6.9,1260,14.0
Moritz Nicolas,Gladbach,de Bundesliga,GK,Goalkeeper,6.9,1639,18.2
Leo Román,Mallorca,es La Liga,GK,Goalkeeper,6.9,630,7.0
Bart Verbruggen,Brighton,eng Premier League,GK,Goalkeeper,6.9,3240,36.0
Pepe Reina,Como,it Serie A,GK,Goalkeeper,6.9,1034,11.5
Jan Oblak,Atlético Madrid,es La Liga,GK,Goalkeeper,6.9,3240,36.0
Péter Gulácsi,RB Leipzig,de Bundesliga,GK,Goalkeeper,6.9,2631,29.2
Luiz Lúcio Reis Júnior,Villarreal,es La Liga,GK,Goalkeeper,6.9,1458,16.2
Alex McCarthy,Southampton,eng Premier League,GK,Goalkeeper,6.7,450,5.0
Alex Palmer,Ipswich Town,eng Premier League,GK,Goalkeeper,6.7,1170,13.0
Semuel Pizzignacco,Monza,it Serie A,GK,Goalkeeper,6.7,736,8.2
Razvan Sava,Udinese,it Serie A,GK,Goalkeeper,6.7,1080,12.0
Sergio Herrera,Osasuna,es La Liga,GK,Goalkeeper,6.6,3330,37.0
Josep Martinez,Inter,it Serie A,GK,Goalkeeper,6.5,450,5.0
Botond Balogh,Parma,it Serie A,DF,Defensive Centre-back,6.5,2053,22.8
Dominik Greif,Mallorca,es La Liga,GK,Goalkeeper,6.5,2790,31.0
Lucas Perri,Lyon,fr Ligue 1,GK,Goalkeeper,6.5,2970,33.0
Manuel Neuer,Bayern Munich,de Bundesliga,GK,Goalkeeper,6.5,1980,22.0
Matej Kovar,Leverkusen,de Bundesliga,GK,Goalkeeper,6.5,450,5.0
Augusto Batalla,Rayo Vallecano,es La Liga,GK,Goalkeeper,6.5,2880,32.0
Kevin Trapp,Eint Frankfurt,de Bundesliga,GK,Goalkeeper,6.4,2295,25.5
Jorginho,Arsenal,eng Premier League,MF,Ball-winning Midfielder,6.4,704,7.8
Stefano Turati,Monza,it Serie A,GK,Goalkeeper,6.4,2676,29.7
Jakub Stolarczyk,Leicester City,eng Premier League,GK,Goalkeeper,6.4,900,10.0
Lukáš Hrádecký,Leverkusen,de Bundesliga,GK,Goalkeeper,6.4,2610,29.0
Ivan Provedel,Lazio,it Serie A,GK,Goalkeeper,6.4,2610,29.0
Matz Sels,Nott'ham Forest,eng Premier League,GK,Goalkeeper,6.4,3420,38.0
Jonas Omlin,Gladbach,de Bundesliga,GK,Goalkeeper,6.3,978,10.9
André Onana,Manchester Utd,eng Premier League,GK,Goalkeeper,6.3,3060,34.0
Ante Budimir,Osasuna,es La Liga,FW,Clinical Striker,6.2,2952,32.8
Timo Horn,Bochum,de Bundesliga,GK,Goalkeeper,6.2,1170,13.0
Emiliano Martínez,Aston Villa,eng Premier League,GK,Goalkeeper,6.2,3194,35.5
Đorđe Petrović,Strasbourg,fr Ligue 1,GK,Goalkeeper,6.2,2790,31.0
Jack Hinshelwood,Brighton,eng Premier League,MF,Defensive Midfielder,6.1,1842,20.5
Stefan Ortega,Manchester City,eng Premier League,GK,Goalkeeper,6.0,1100,12.2
Ardian Ismajli,Empoli,it Serie A,DF,Defensive Centre-back,6.0,2508,27.9
Marco Silvestri,Empoli,it Serie A,GK,Goalkeeper,6.0,450,5.0
Nediljko Labrović,Augsburg,de Bundesliga,GK,Goalkeeper,5.9,1350,15.0
Aaron Ramsdale,Southampton,eng Premier League,GK,Goalkeeper,5.9,2700,30.0
Paweł Dawidowicz,Hellas Verona,it Serie A,DF,Defensive Centre-back,5.9,1845,20.5
Patrick Drewes,Bochum,de Bundesliga,GK,Goalkeeper,5.8,1890,21.0
Vicente Guaita,Celta Vigo,es La Liga,GK,Goalkeeper,5.8,3060,34.0
Philipp Köhn,Monaco,fr Ligue 1,GK,Goalkeeper,5.8,1710,19.0
Maarten Vandevoordt,RB Leipzig,de Bundesliga,GK,Goalkeeper,5.7,429,4.8
Sam Johnstone,Wolves,eng Premier League,GK,Goalkeeper,5.6,630,7.0
Jordan Pickford,Everton,eng Premier League,GK,Goalkeeper,5.6,3420,38.0
Mads Hermansen,Leicester City,eng Premier League,GK,Goalkeeper,5.6,2385,26.5
Andrew Omobamidele,Strasbourg,fr Ligue 1,DF,Defensive Centre-back,5.5,539,6.0
Marcin Bułka,Nice,fr Ligue 1,GK,Goalkeeper,5.5,3060,34.0
Abdoulaye Bamba,Angers,fr Ligue 1,DF,Defensive Centre-back,5.5,1510,16.8
Alex Padilla,Athletic Club,es La Liga,GK,Goalkeeper,5.4,321,3.6
Timon Weiner,Holstein Kiel,de Bundesliga,GK,Goalkeeper,5.4,2250,25.0
Mathieu Gorgelin,Le Havre,fr Ligue 1,GK,Goalkeeper,5.3,1440,16.0
David Soria,Getafe,es La Liga,GK,Goalkeeper,5.3,3420,38.0
Paul Onuachu,Southampton,eng Premier League,FW,Clinical Striker,5.2,1050,11.7
Emil Audero,Como,it Serie A,GK,Goalkeeper,5.2,720,8.0
Rui Silva,Betis,es La Liga,GK,Goalkeeper,5.2,1350,15.0
Wojciech Szczęsny,Barcelona,es La Liga,GK,Goalkeeper,5.2,1350,15.0
Jorge Cuenca,Fulham,eng Premier League,DF,Defensive Centre-back,5.1,351,3.9
Marc-André ter Stegen,Barcelona,es La Liga,GK,Goalkeeper,5.1,674,7.5
Sorba Thomas,Nantes,fr Ligue 1,FW,Wide Midfielder / Winger,5.1,1321,14.7
Kiko Femenía,Villarreal,es La Liga,DF,Ball-winning Midfielder,5.1,2227,24.7
Altay Bayındır,Manchester Utd,eng Premier League,GK,Goalkeeper,5.0,360,4.0
Damián Rodríguez,Celta Vigo,es La Liga,MF,Ball-winning Midfielder,5.0,927,10.3
Álex Remiro,Real Sociedad,es La Liga,GK,Goalkeeper,5.0,3240,36.0
Donovan Léon,Auxerre,fr Ligue 1,GK,Goalkeeper,5.0,2880,32.0
Steve Mandanda,Rennes,fr Ligue 1,GK,Goalkeeper,5.0,1486,16.5
Brice Samba,Rennes,fr Ligue 1,GK,Goalkeeper,5.0,1529,17.0
Dinko Horkaš,Las Palmas,es La Liga,GK,Goalkeeper,4.9,1085,12.1
Antonio Sivera,Alavés,es La Liga,GK,Goalkeeper,4.9,2810,31.2
Marco Bizot,Brest,fr Ligue 1,GK,Goalkeeper,4.9,2880,32.0
Jørgen Strand Larsen,Wolves,eng Premier League,FW,Clinical Striker,4.8,2587,28.7
Cristhian Stuani,Girona,es La Liga,FW,Clinical Striker,4.8,1078,12.0
Alphonse Areola,West Ham,eng Premier League,GK,Goalkeeper,4.8,2260,25.1
Christian Walton,Ipswich Town,eng Premier League,GK,Goalkeeper,4.8,630,7.0
Karl Jakob Hein,Valladolid,es La Liga,GK,Goalkeeper,4.7,2790,31.0
Adrián,Betis,es La Liga,GK,Goalkeeper,4.7,1710,19.0
Gianluigi Donnarumma,Paris S-G,fr Ligue 1,GK,Goalkeeper,4.7,2091,23.2
Stole Dimitrievski,Valencia,es La Liga,GK,Goalkeeper,4.6,360,4.0
Mark Flekken,Brentford,eng Premier League,GK,Goalkeeper,4.5,3275,36.4
Matvei Safonov,Paris S-G,fr Ligue 1,GK,Goalkeeper,4.5,879,9.8
Iñaki Peña,Barcelona,es La Liga,GK,Goalkeeper,4.5,1396,15.5
Patrik Carlgren,Nantes,fr Ligue 1,GK,Goalkeeper,4.4,417,4.6
Jack Clarke,Ipswich Town,eng Premier League,FW,Wide Midfielder / Winger,4.4,1181,13.1
Jasper Cillessen,Las Palmas,es La Liga,GK,Goalkeeper,4.3,2335,25.9
Dani Cárdenas,Rayo Vallecano,es La Liga,GK,Goalkeeper,4.3,540,6.0
Alexander Schwolow,Union Berlin,de Bundesliga,GK,Goalkeeper,4.3,540,6.0
Kjetil Haug,Toulouse,fr Ligue 1,GK,Goalkeeper,4.3,498,5.5
Arthur Desmas,Le Havre,fr Ligue 1,GK,Goalkeeper,4.2,1620,18.0
Iván Villar,Celta Vigo,es La Liga,GK,Goalkeeper,4.2,360,4.0
Thibaut Courtois,Real Madrid,es La Liga,GK,Goalkeeper,4.2,2700,30.0
Nemanja Matić,Lyon,fr Ligue 1,MF,Ball-winning Midfielder,4.2,2010,22.3
Bernd Leno,Fulham,eng Premier League,GK,Goalkeeper,4.1,3420,38.0
Hervé Koffi,Lens,fr Ligue 1,GK,Goalkeeper,4.1,450,5.0
Florian Müller,Freiburg,de Bundesliga,GK,Goalkeeper,4.1,753,8.4
Hafiz Ibrahim,Reims,fr Ligue 1,FW,Target Man / Physical Striker,4.0,391,4.3
Alessandro Zanoli,Genoa,it Serie A,FW,Wide Midfielder / Winger,4.0,1711,19.0
Gautier Larsonneur,Saint-Étienne,fr Ligue 1,GK,Goalkeeper,4.0,3060,34.0
Gvidas Gineitis,Torino,it Serie A,MF,Defensive Midfielder,4.0,1430,15.9
Anthony Lopes,Nantes,fr Ligue 1,GK,Goalkeeper,4.0,1563,17.4
Armando Broja,Everton,eng Premier League,FW,Target Man / Physical Striker,3.9,334,3.7
Filip Jørgensen,Chelsea,eng Premier League,GK,Goalkeeper,3.9,540,6.0
Alexander Nübel,Stuttgart,de Bundesliga,GK,Goalkeeper,3.8,3060,34.0
Benjamin Lecomte,Montpellier,fr Ligue 1,GK,Goalkeeper,3.8,2700,30.0
Daley Blind,Girona,es La Liga,DF,Ball-winning Midfielder,3.8,2780,30.9
Alidu Seidu,Rennes,fr Ligue 1,DF,Ball-winning Midfielder,3.8,803,8.9
Pierluigi Gollini,Genoa,it Serie A,GK,Goalkeeper,3.8,630,7.0
Alban Lafont,Nantes,fr Ligue 1,GK,Goalkeeper,3.7,1080,12.0
Kevin Müller,Heidenheim,de Bundesliga,GK,Goalkeeper,3.7,2939,32.7
Gerónimo Rulli,Marseille,fr Ligue 1,GK,Goalkeeper,3.6,3060,34.0
Lucas Chevalier,Lille,fr Ligue 1,GK,Goalkeeper,3.3,3060,34.0
David de Gea,Fiorentina,it Serie A,GK,Goalkeeper,3.3,3060,34.0
Oliver Baumann,Hoffenheim,de Bundesliga,GK,Goalkeeper,3.3,2520,28.0
Álvaro Fernández,Sevilla,es La Liga,GK,Goalkeeper,3.2,747,8.3
Juan Soriano,Leganés,es La Liga,GK,Goalkeeper,3.1,540,6.0
Paulo Gazzaniga,Girona,es La Liga,GK,Goalkeeper,3.1,3195,35.5
Alen Sherri,Cagliari,it Serie A,GK,Goalkeeper,3.0,621,6.9
Ørjan Nyland,Sevilla,es La Liga,GK,Goalkeeper,3.0,2673,29.7
Dimitry Bertaud,Montpellier,fr Ligue 1,GK,Goalkeeper,2.8,360,4.0
Luca Philipp,Hoffenheim,de Bundesliga,GK,Goalkeeper,2.7,540,6.0
Mirko Marić,Venezia,it Serie A,FW,Target Man / Physical Striker,2.7,356,4.0
Ederson,Manchester City,eng Premier League,GK,Goalkeeper,2.7,2320,25.8
Antonín Kinský,Tottenham,eng Premier League,GK,Goalkeeper,2.7,540,6.0
Jesús Owono,Alavés,es La Liga,GK,Goalkeeper,2.7,487,5.4
Carlos Soler,West Ham,eng Premier League,MF,Defensive Midfielder,2.6,1409,15.7
Suat Serdar,Hellas Verona,it Serie A,MF,Defensive Midfielder,2.6,1376,15.3
Giorgi Mamardashvili,Valencia,es La Liga,GK,Goalkeeper,2.4,3060,34.0
Nicolas Seiwald,RB Leipzig,de Bundesliga,MF,Ball-winning Midfielder,2.3,2084,23.2
Ryan Fraser,Southampton,eng Premier League,FW,Target Man / Physical Striker,2.1,306,3.4
Antoine Joujou,Le Havre,fr Ligue 1,MF,Wide Midfielder / Winger,1.8,943,10.5
Diego Conde,Villarreal,es La Liga,GK,Goalkeeper,1.5,1962,21.8
André Ferreira,Valladolid,es La Liga,GK,Goalkeeper,0.6,540,6.0
Andriy Lunin,Real Madrid,es La Liga,GK,Goalkeeper,0.4,630,7.0
Arvid Brorsson,Monza,it Serie A,DF,Defensive Centre-back,0.3,362,4.0
Luke Woolfenden,Ipswich Town,eng Premier League,DF,Defensive Centre-back,0.1,1187,13.2
Jon Guridi,Alavés,es La Liga,MF,Defensive Midfielder,0.0,2080,23.1
Stanislav Lobotka,Napoli,it Serie A,MF,Ball-winning Midfielder,0.0,2636,29.3
Wes Burns,Ipswich Town,eng Premier League,FW,Wide Midfielder / Winger,0.0,926,10.3
Guillaume Restes,Toulouse,fr Ligue 1,GK,Goalkeeper,0.0,2543,28.3
Denzel Dumfries,Inter,it Serie A,DF,Fullback / Wing-back,0.0,1865,20.7
Kike Barja,Osasuna,es La Liga,FW,Creative Attacking Midfielder,0.0,315,3.5
Samuel Amo-Ameyaw,Strasbourg,fr Ligue 1,DF,Box-to-box Midfielder,0.0,320,3.6
Andrej Ilic,Union Berlin,de Bundesliga,FW,Clinical Striker,0.0,937,10.4
Bamo Meïté,Montpellier,fr Ligue 1,DF,Defensive Centre-back,0.0,424,4.7
Christian Kouamé,Fiorentina,it Serie A,FW,Target Man / Physical Striker,0.0,622,6.9
